,gdp,suicides
324,3399,164.73
325,3436,143.97
326,3545,61.290000000000006
327,3487,5.77
328,3531,81.78
329,3615,83.72
330,3960,160.8
331,4013,151.7
332,4161,69.62
333,4289,59.0
334,4449,117.38
335,4547,46.1
336,4815,37.92
337,4951,78.49000000000001
338,5098,86.36000000000001
339,4841,57.760000000000005
340,4923,61.480000000000004
341,5098,153.29999999999998
342,5264,73.44999999999999
343,5272,56.400000000000006
344,5448,90.95
345,5561,135.46
346,5076,1.31
347,5079,109.5
348,1898,59.18
349,2257,57.160000000000004
350,2394,70.11999999999999
351,2628,65.36000000000001
352,3310,64.02
353,3516,67.05999999999999
354,4490,68.34000000000002
355,2924,64.91999999999999
356,3136,67.86
357,3925,71.51
358,5313,75.23999999999998
359,5771,73.33
360,5891,76.80000000000001
361,5663,75.04999999999998
362,3864,67.64999999999999
363,4156,68.23
364,3492,73.49
365,3121,69.77
366,3376,68.07000000000001
367,3984,70.21999999999998
368,5230,73.60000000000001
369,6403,69.89999999999999
370,7970,71.68
371,9555,72.21000000000001
372,9283,70.37
373,12161,72.73
374,14245,72.41000000000001
375,13283,74.45000000000002
376,13191,73.41000000000001
377,12975,73.13000000000001
378,9431,77.45
379,2044,303.12
380,2413,275.4800000000001
381,3355,308.4
382,2688,292.49000000000007
383,2617,292.19000000000005
384,2451,256.43
385,1298,268.94
386,1287,310.5999999999999
387,1354,278.36
388,1213,288.39
389,1636,277.85
390,1270,296.20000000000005
391,1411,276.35999999999996
392,1852,304.61
393,1715,250.70999999999998
394,1680,259.22
395,1854,244.62
396,2157,247.35
397,2800,207.65
398,3485,184.11999999999998
399,4003,178.05999999999997
400,4638,186.53
401,6073,173.77
402,7487,170.34
403,7186,154.42000000000002
404,7066,158.25000000000003
405,8137,133.51999999999998
406,7745,164.17
407,8057,134.16000000000003
408,8241,139.77
409,4124,133.84
410,15522,166.45999999999998
411,16062,190.10999999999996
412,18124,179.32999999999998
413,21069,175.38
414,23188,170.98000000000002
415,24041,165.01999999999995
416,24038,167.78
417,22393,163.6
418,21421,164.01999999999998
419,21219,161.91
420,21871,163.52
421,22686,162.89000000000001
422,23245,151.43000000000004
423,22268,150.12000000000003
424,23572,158.44
425,25589,139.0
